A,k,N,is_prime
19,1,1187,1
19,2,2897,1
19,3,19997,1
19,4,190997,1
19,5,1900997,0
19,6,19000997,1
19,7,190000997,0
19,8,1900000997,0
19,9,19000000997,0
19,10,190000000997,0
19,11,1900000000997,0
19,12,19000000000997,1
19,13,190000000000997,0
19,14,1900000000000997,1
19,15,19000000000000997,0
19,16,190000000000000997,0
19,17,1900000000000000997,0
19,18,19000000000000000997,0
19,19,190000000000000000997,0
19,20,1900000000000000000997,0
19,21,19000000000000000000997,0
19,22,190000000000000000000997,0
19,23,1900000000000000000000997,0
19,24,19000000000000000000000997,0
19,25,190000000000000000000000997,1
19,26,1900000000000000000000000997,0
19,27,19000000000000000000000000997,0
19,28,190000000000000000000000000997,0
19,29,1900000000000000000000000000997,0
19,30,19000000000000000000000000000997,0
19,31,190000000000000000000000000000997,0
19,32,1900000000000000000000000000000997,0
19,33,19000000000000000000000000000000997,0
19,34,190000000000000000000000000000000997,0
19,35,1900000000000000000000000000000000997,0
19,36,19000000000000000000000000000000000997,0
19,37,190000000000000000000000000000000000997,1
19,38,1900000000000000000000000000000000000997,0
19,39,19000000000000000000000000000000000000997,0
19,40,190000000000000000000000000000000000000997,0
19,41,1900000000000000000000000000000000000000997,0
19,42,19000000000000000000000000000000000000000997,0
19,43,190000000000000000000000000000000000000000997,0
19,44,1900000000000000000000000000000000000000000997,0
19,45,19000000000000000000000000000000000000000000997,0
19,46,190000000000000000000000000000000000000000000997,0
19,47,1900000000000000000000000000000000000000000000997,0
19,48,19000000000000000000000000000000000000000000000997,0
19,49,190000000000000000000000000000000000000000000000997,1
19,50,1900000000000000000000000000000000000000000000000997,0
19,51,19000000000000000000000000000000000000000000000000997,0
19,52,190000000000000000000000000000000000000000000000000997,0
19,53,1900000000000000000000000000000000000000000000000000997,0
19,54,19000000000000000000000000000000000000000000000000000997,0
19,55,190000000000000000000000000000000000000000000000000000997,1
19,56,1900000000000000000000000000000000000000000000000000000997,0
19,57,19000000000000000000000000000000000000000000000000000000997,0
19,58,190000000000000000000000000000000000000000000000000000000997,0
19,59,1900000000000000000000000000000000000000000000000000000000997,0
19,60,19000000000000000000000000000000000000000000000000000000000997,0
19,61,190000000000000000000000000000000000000000000000000000000000997,0
19,62,1900000000000000000000000000000000000000000000000000000000000997,0
